adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Singapore,SGP,103.810539,1.357382,25.05.2020,https://www.routesonline.com/news/38/airlineroute/291437/jetstar-asia-extends-interim-schedule-to-late-june-2020/,.Jetstar Asia,Jetstar Asia extends suspension of flights to May 31,,,,598
Sint Eustatius,ANT,-62.976086,17.490469,,,,,,,,599
Sint Maarten,SXM,-63.055268,18.043675,,,,,,,,600
Slovakia,SVK,19.484954,48.707416,,,,,,,,601
Slovenia,SVN,14.822232,46.119709,,,,,,,,602
Solomon Islands,SLB,160.160046,-9.622475,19.05.2020,https://www.routesonline.com/news/38/airlineroute/291327/solomon-airlines-revises-domestic-interim-schedule-from-18may20/,.Solomon Airlines,Solomon Airlines revises domestic interim schedule from 18MAY20,,,,603
Somalia,SOM,46.204698,4.409471,,,,,,,,604
South Africa,ZAF,24.669618,-29.999172,30.04.2020,https://www.flightglobal.com/airlines/comair-expects-to-remain-grounded-until-at-least-october/138163.article,Comair,Comair expects to remain grounded until at least October ,,,,605
South Africa,ZAF,24.669618,-29.999172,05.05.2020,"https://www.flightglobal.com/airlines/south-africas-comair-files-for-business-rescue/138231.article",Comair,South Africa’s Comair files for business rescue,,,,606
South Africa,ZAF,24.669618,-29.999172,21.03.2020,https://worldairlinenews.com/2020/03/21/south-african-airways-suspends-all-international-and-regional-flights/,SAA,South African Airways suspends all international and regional flights,,,,607
South Africa,ZAF,24.669618,-29.999172,24.03.2020,https://www.reuters.com/article/health-coronavirus-safrica-saa/south-african-airways-to-suspend-all-domestic-flights-as-country-braces-for-lockdown-idUSL8N2BH8FL,SAA,South African Airways to suspend all domestic flights from 27 March until 16 April ,,,,608
South Africa,ZAF,24.669618,-29.999172,26.05.2020,Reuters,.SAA,"South African Airways aims to resume some domestic flights from mid-June; cancellations of regional, intercontinental flights extended until end of June",,,,609
South Africa,ZAF,24.669618,-29.999172,18.03.2020,Reuters,SA Express,"SA Express to suspend operations from 18 March because of financial issues, spread of COVID-19",,,,610
South Georgia and the South Sandwich Islands,SGS,-36.678835,-54.378486,,,,,,,,611
South Sudan,SSD,30.326187,7.290839,,,,,,,,612
Sovereignty unsettled,xxx,35.17027,31.739991,,,,,,,,613
Spain,ESP,-3.553995,40.392124,25.05.2020,https://www.flightglobal.com/airlines/spains-volotea-grounds-fleet-until-8-april/137441.article,.Volotea,Volotea outlines post-COVID 19 network expansion eff.12JUN20,,,,614
Spain,ESP,-3.553995,40.392124,16.03.2020,https://worldairlinenews.com/2020/03/16/iags-airlines-to-reduce-capacity-by-75/,"Iberia, Vueling",IAG’s airlines to reduce capacity by 75%,,,,615
Spain,ESP,-3.553995,40.392124,30.05.2020,https://worldairlinenews.com/2020/05/31/iberia-to-resume-short-and-medium-haul-routes-on-july-1/,.Iberia,Iberia to resume short and medium haul routes on July 1,,,,616
Spain,ESP,-3.553995,40.392124,01.06.2020,https://www.routesonline.com/news/38/airlineroute/291541/vueling-june-2020-operations-as-of-31may20/,.Vueling,Vueling June 2020 operations as of 31MAY20,,,,617
Spain,ESP,-3.553995,40.392124,29.04.2020,https://www.routesonline.com/news/38/airlineroute/291024/binter-aprilmay-2020-operations-as-of-26apr20/,.Binter,Binter April/May 2020 Operations as of 26APR20,,,,618
Spain,ESP,-3.553995,40.392124,16.05.2020,https://www.majorcadailybulletin.com/news/local/2020/05/16/67053/air-nostrum-inter-island-flights-resume-may-24.html,.Air Nostrum,Air Nostrum to resume some flights from 24 May after suspension,,,,619
Spratly Islands,xSI,114.284872,11.052405,,,,,,,,620
Sri Lanka,LKA,80.702028,7.610407,12.05.2020,https://www.newsfirst.lk/2020/05/12/sl-airlines-resumes-operations-of-selected-passenger-flights/,.SriLankan Airlines,Sri Lankan Airlines resumes some passenger flights from 13 May ,,,,621
Sri Lanka,LKA,80.702028,7.610407,15.04.2020,http://www.hirunews.lk/238660/sri-lankan-airlines-to-extend-temporary-suspension-of-its-scheduled-passenger-flights-till-april-30-2020,SriLankan Airlines,Sri Lankan Airlines extends suspension of passenger flights until 30 April ,,,,622
Sudan,SDN,29.957256,16.026819,,,,,,,,623
Suriname,SUR,-55.905196,4.1356,,,,,,,,624
Svalbard and Jan Mayen Islands,SJM,13.378671,78.825308,,,,,,,,625
Sweden,SWE,14.377534,60.601031,28.05.2020,https://www.routesonline.com/news/38/airlineroute/291488/sas-resumes-limited-long-haul-passenger-service-from-june-2020/,.SAS,"SAS resumes limited long-haul  (CPH-ORD, CPH-EWR) passenger service from June 2020",,,,626
Sweden,SWE,14.377534,60.601031,29.05.2020,https://www.routesonline.com/news/38/airlineroute/291516/sas-restores-additional-european-routes-in-june-2020/,.SAS,SAS restores additional European routes in June 2020,,,,627
Sweden,SWE,14.377534,60.601031,01.04.2020,https://nationalpost.com/pmn/health-pmn/swedish-airline-bra-cancels-all-flights-april-6-may-31,BRA,BRA cancels all flights between 6 April and 31 May ,,,,628
Switzerland,CHE,8.223234,46.9685,18.04.2020,https://www.routesonline.com/news/38/airlineroute/291314/swiss-01-14jun20-european-operations-as-of-14may20/,.Swiss,Swiss 01 – 14JUN20 European operations as of 14MAY20,,,,629
Switzerland,CHE,8.223234,46.9685,10.05.2020,https://simpleflying.com/swiss-june-expansion/,.Swiss,SWISS will operate 140 flights per week from Zurich and 40 per week from Geneva next month.,,,,630
